 -> 1561603107050340
3 -> 1077
pedro.amaral@gmail.com -> 1357
Unicamp -> 898
Aluno -> 6894
3 -> 993
helena.teixeira@hotmail.com -> 1338
Unicamp -> 972
Aluna -> 2258
3 -> 1271
lucas.amaral@globo.com -> 1585
Unicamp -> 1368
Aluno -> 2188
3 -> 1828
pedro.amaral@gmail.com -> 1508
Unicamp -> 1059
Aluno -> 2098
3 -> 1068
helena.teixeira@hotmail.com -> 1534
Unicamp -> 1179
Aluna -> 2595
3 -> 6111
lucas.amaral@globo.com -> 1381
Unicamp -> 1089
Aluno -> 2062
3 -> 1076
pedro.amaral@gmail.com -> 1318
Unicamp -> 1174
Aluno -> 2425
3 -> 999
helena.teixeira@hotmail.com -> 1453
Unicamp -> 971
Aluna -> 3207
3 -> 1026
lucas.amaral@globo.com -> 1354
Unicamp -> 929
Aluno -> 2177
3 -> 1068
pedro.amaral@gmail.com -> 1389
Unicamp -> 1218
Aluno -> 3009
3 -> 1119
helena.teixeira@hotmail.com -> 1399
Unicamp -> 1682
Aluna -> 2398
3 -> 1116
lucas.amaral@globo.com -> 1388
Unicamp -> 1086
Aluno -> 2097
3 -> 984
pedro.amaral@gmail.com -> 1273
Unicamp -> 919
Aluno -> 3144
3 -> 1445
helena.teixeira@hotmail.com -> 1385
Unicamp -> 993
Aluna -> 2234
3 -> 1222
lucas.amaral@globo.com -> 1196
Unicamp -> 990
Aluno -> 1981
3 -> 942
pedro.amaral@gmail.com -> 1325
Unicamp -> 972
Aluno -> 2055
3 -> 904
helena.teixeira@hotmail.com -> 1272
Unicamp -> 923
Aluna -> 2149
3 -> 1485
lucas.amaral@globo.com -> 1249
Unicamp -> 922
Aluno -> 2449
3 -> 1137
pedro.amaral@gmail.com -> 1548
Unicamp -> 1338
Aluno -> 2200
3 -> 1012
helena.teixeira@hotmail.com -> 1306
Unicamp -> 882
Aluna -> 2314
7 -> 1041
